,TaskId,Number of frames,Waiting Time,Processing Time,Is Dropped?
0,127.0.0.1,83,0.0,23.298467874526978,0
1,127.0.0.1,14,23.579909563064575,5.073398113250732,0
2,127.0.0.1,14,9.98412561416626,4.3698036670684814,0
3,127.0.0.1,15,4.977630853652954,5.175917863845825,0
4,127.0.0.1,30,20.603221654891968,9.665336608886719,0
5,127.0.0.1,32,2.4011545181274414,10.573513984680176,0
6,127.0.0.1,27,6.731482982635498,8.41995882987976,0
7,127.0.0.1,10,2.060969591140747,3.365839958190918,0
8,127.0.0.1,15,7.852386951446533,4.507112979888916,0
9,127.0.0.1,40,0.7423653602600098,14.132496356964111,0
10,127.0.0.1,43,47.34666967391968,14.200127601623535,0
11,127.0.0.1,14,5.801433324813843,5.4624409675598145,0
12,127.0.0.1,14,10.752519130706787,9.423331022262573,0
13,127.0.0.1,20,7.0564351081848145,13.808669328689575,0
14,127.0.0.1,24,10.78744387626648,14.234932899475098,0
15,127.0.0.1,29,34.65134906768799,21.22370457649231,0
16,127.0.0.1,29,48.189825773239136,16.441365957260132,0
17,127.0.0.1,31,55.33291435241699,17.789535522460938,0
18,127.0.0.1,40,107.39616823196411,21.98534059524536,0
19,127.0.0.1,46,190.05469608306885,0.0,1
20,127.0.0.1,50,152.21921133995056,29.745487213134766,0
21,127.0.0.1,51,170.01310324668884,30.37800097465515,0
22,127.0.0.1,56,263.1820778846741,0.0,1
23,127.0.0.1,56,217.7266047000885,0.0,1
24,127.0.0.1,58,227.37167048454285,0.0,1
25,127.0.0.1,59,173.9710681438446,26.548511505126953,0
26,127.0.0.1,62,219.45624208450317,0.0,1
27,127.0.0.1,63,279.75526094436646,0.0,1
28,127.0.0.1,63,288.27796268463135,0.0,1
29,127.0.0.1,64,316.80712938308716,0.0,1
30,127.0.0.1,67,236.39800882339478,0.0,1
31,127.0.0.1,68,272.5742073059082,0.0,1
32,127.0.0.1,68,263.59293150901794,0.0,1
33,127.0.0.1,69,310.5266716480255,0.0,1
34,127.0.0.1,72,307.2974896430969,0.0,1
35,127.0.0.1,72,296.21455669403076,0.0,1
36,127.0.0.1,73,215.57151865959167,0.0,1
37,127.0.0.1,76,297.73935890197754,0.0,1
38,127.0.0.1,80,237.8088982105255,0.0,1
39,127.0.0.1,84,229.4264850616455,0.0,1
40,127.0.0.1,84,252.22806692123413,0.0,1
41,127.0.0.1,95,239.14158511161804,0.0,1
42,127.0.0.1,96,275.02418756484985,0.0,1
43,127.0.0.1,108,243.08835864067078,0.0,1
44,127.0.0.1,108,261.7225434780121,0.0,1
45,127.0.0.1,109,190.68936824798584,0.0,1
46,127.0.0.1,114,308.7792274951935,0.0,1
47,127.0.0.1,115,276.65539288520813,0.0,1
48,127.0.0.1,118,226.23748445510864,0.0,1
49,127.0.0.1,119,204.58513641357422,0.0,1
50,127.0.0.1,120,286.2384057044983,0.0,1
